formula,ref_energy_eV,min_final_log_eV,delta_eV
F8O2Tl4,-4.009581429617746,-4.014577,-0.0049955703822543995
F8O2Y4,-7.646451132638114,-7.608055,0.03839613263811348
Fe12I16O4,-4.242004871368408,-4.349838,-0.10783312863159189
Fe2O14S4,-6.211653518676758,-6.208011,0.003642518676757689
Fe4La8N12,-8.190462748209635,-8.199324,-0.008861251790365898
Fe4O12Rb16,-4.249049186706543,-4.249069,-1.981329345746019e-05
Fe6Nb4O16,-7.949557377741887,-7.935232,0.014325377741887024
Ga4O10Rb8,-4.798305164683949,-4.788217,0.010088164683948797
Ga8Mn2O14,-6.36210823059082,-6.324777,0.03733123059082022
Ge10N16Sr4,-6.582095336914063,-6.530831,0.051264336914062625
Ge2O14V4,-7.157920837402344,-7.130371,0.027549837402343513
HfO8Se2,-6.48057070645419,-6.482513,-0.001942293545809548
Hf2N8Sr8,-6.531956566704644,-6.531986,-2.9433295355651978e-05
Hf2O10Sc4,-9.486754417419434,-9.439847,0.04690741741943327
Hf4K2N6,-8.972870508829752,-9.06489,-0.0920194911702481
Hf4N12P4,-9.130442810058593,-9.115078,0.015364810058592582
Hf4O20S4,-7.839994158063616,-7.840939,-0.0009448419363833338
Hf4O20Se4,-7.2782794407435825,-7.283434,-0.005154559256417279
Hg2O14Se4,-4.66559066772461,-4.661421,0.004169667724609916
Hg2O8Pt3,-4.935495816744291,-4.935493,2.8167442911453122e-06
Hg4O14S4,-4.970210682262074,-4.886391,0.08381968226207448
I8OTa2,-4.473949085582387,-4.474458,-0.0005089144176135818
I8O2Rb12,-2.9029532345858486,-2.899426,0.003527234585848582
In4O16Rb20,-3.986623001098633,-3.986036,0.0005870010986330776
IrO4Pd,-6.204437891642253,-6.204439,-1.1083577469150896e-06
IrO8Os3,-7.716748555501302,-7.716758,-9.444498697774861e-06
IrO8Ru3,-7.301113764444987,-7.301337,-0.0002232355550129128
Ir2O12Os4,-7.647489759657118,-7.641787,0.005702759657117973
Ir2O12Ru4,-7.273403591579861,-7.272753,0.0006505915798609152
Ir3MnO8,-7.069959004720052,-7.072375,-0.002415995279948291
Ir3O8Ru,-7.126228332519531,-7.126365,-0.00013666748046858856
Ir3O8Sr2,-6.796203026404748,-6.796207,-3.973595251949291e-06
Ir4O12Os2,-7.351721021864149,-7.35171,1.1021864149363125e-05
Ir8O24Pd4,-6.497952779134114,-6.493891,0.004061779134114651
K10La2O8,-4.705655670166015,-4.705667,-1.1329833984774496e-05
K10Nb2O10,-5.525718342174184,-5.517828,0.007890342174183829
K2N2Pd,-4.825721740722656,-4.34242,0.4833017407226565
K2N6Ti4,-8.15172259012858,-8.160333,-0.008610409871419478
K2N6Zr4,-8.365111033121744,-8.447297,-0.08218596687825652
K4O14Pd6,-5.108743985493978,-5.10921,-0.00046601450602246075
K4O14Pt6,-5.429246266682942,-5.386781,0.04246526668294237
La2O8Rb10,-4.570077896118164,-4.570108,-3.0103881836218704e-05
La4O14Pd4,-6.824739629572088,-6.70047,0.12426962957208776
Li10Mn2N8,-5.715473937988281,-5.715472,1.9379882809644755e-06
Li16N12Nb4,-6.176024913787842,-6.117949,0.05807591378784149
Li16N12V4,-6.048396110534668,-6.034513,0.013883110534668397
Li4Mo8N12,-8.705795288085938,-8.664089,0.041706288085936905
Li4O20Tl12,-4.641359117296007,-4.608954,0.03240511729600737
Li5N3Sn,-4.665795644124349,-4.665823,-2.7355875650947326e-05
Mg2O14Se4,-5.35774040222168,-5.333535,0.02420540222167933
Mn2Mo4O14,-7.283747863769531,-7.28371,3.7863769531298885e-05
Mn2O14S4,-6.472218322753906,-6.469495,0.0027233227539058547
Mn2O14Se4,-5.7314300537109375,-5.711639,0.01979105371093759
Mn4O14Rb12,-5.097123718261718,-5.097972,-0.0008482817382819974
Mn4OS3,-6.843343257904053,-6.860675,-0.0173317420959469
Mn4O24Ru8,-7.302775065104167,-7.27181,0.030965065104166634
Mn6Mo4O18,-7.504471915108817,-7.504451,2.0915108816410566e-05
Mn8O18Sb4,-7.099479675292969,-7.061685,0.03779467529296898
MoN6W3,-10.361318969726563,-10.29381,0.06750896972656228
Mo2Na4O6,-5.824077606201172,-5.762253,0.061824606201171584
Mo3N6W,-9.899049377441406,-9.82149,0.07755937744140518
Mo4O24Se4,-5.999305725097656,-5.993794,0.005511725097655962
Mo4O28V8,-7.471183776855469,-7.41824,0.052943776855468805
Mo8Ni4O28,-6.642169189453125,-6.642336,-0.00016681054687506247
N10P2Sr10,-5.844405434348366,-5.806129,0.03827643434836592
N12P4Re4,-8.69659881591797,-8.570308,0.12629081591796876
N12P4Sr8,-6.620829264322917,-6.621986,-0.001156735677082743
N12P4Zr4,-8.744390106201172,-8.746046,-0.0016558937988282452
N16Nb8Sr4,-8.777476719447545,-8.799409,-0.021932280552455552
N16Sr4Ta8,-9.479130336216517,-9.510012,-0.030881663783482338
N20Sr20Ta4,-6.573132601651278,-6.551732,0.021400601651277995
N2PdRb2,-4.761649703979492,-4.236536,0.5251137039794918
N3NaZr2,-8.498921712239584,-8.53552,-0.03659828776041607
N4Se12Y12,-7.3086411612374445,-7.294328,0.014313161237444305
N4Se6Sr12,-4.770047968084162,-4.712862,0.057185968084161765
N4Sr12Te6,-4.539920460094105,-4.456322,0.08359846009410532
N4Te2Zr4,-8.741908264160156,-8.74191,-1.7358398451960966e-06
N6Na8P2,-4.834605693817139,-4.818167,0.016438693817138805
N6Rb2Zr4,-8.31466801961263,-8.370505,-0.05583698038736884
N8Rb8Ru4,-5.593590927124024,-5.593807,-0.0002160728759763586
Na4O14Pd6,-5.14842160542806,-5.038568,0.10985360542805989
Na4O14Pt6,-5.4684708913167315,-5.375196,0.09327489131673161
Nb2O11Se2,-6.875053914388021,-6.848548,0.026505914388020635
Nb2O7Rb4,-6.757626460148738,-6.760923,-0.0032965398512621036
Nb6O16Rb2,-8.434192021687826,-8.434189,3.0216878261768443e-06
Ni2O14S4,-5.823506927490234,-5.820009,0.003497927490234254
Ni2O14Se4,-5.084842681884766,-5.06339,0.021452681884765568
Ni2O8Pd3,-5.200885479266827,-5.200889,-3.5207331734454783e-06
Ni4O12Rb16,-3.7178945541381836,-3.717902,-7.445861816446353e-06
O10Rb10V2,-5.017361727627841,-5.032232,-0.014870272372158766
O10Ru2S2,-6.505262102399554,-6.505219,4.310239955351847e-05
O10Se2Ti2,-6.726953778948102,-6.727158,-0.0002042210518977683
O12Os2Ru4,-7.592356363932292,-7.590569,0.001787363932291619
O12Pt2Ru4,-6.8641204833984375,-6.856058,0.008062483398437514
O12Pt2V4,-7.11696031358507,-7.114302,0.002658313585069294
O12Rb16Zn4,-3.683717727661133,-3.683729,-1.1272338867218679e-05
O12Rh2Tl6,-5.13111572265625,-5.131111,4.722656250066848e-06
O14Pb4Rh4,-6.108333934437145,-6.108332,1.9344371446905484e-06
O14Pb6Pd2,-5.435820839621804,-5.379188,0.056632839621803654
O14Pb6Pt2,-5.578887245871804,-5.537769,0.041118245871803794
O14Pd4Tl4,-5.101407484574751,-5.101407,4.845747509918397e-07
O14Pd4Y4,-7.162110762162642,-7.162111,-2.3783735869642442e-07
O14Pd6Rb4,-5.063085556030273,-4.945352,0.11773355603027369
O14Pt6Rb4,-5.384136199951172,-5.348348,0.03578819995117222
O14S4Sr2,-6.262581634521484,-6.273412,-0.010830365478516235
O14Sb2Tl6,-5.0699462890625,-5.0758,-0.0058537109375000895
O16Os4Rb16,-5.101592593722874,-5.108504,-0.006911406277126275
O16Pb4Sn8,-5.932856968470982,-5.854135,0.07872196847098145
O16Sb4Zn6,-5.4083381065955525,-5.372127,0.0362111065955526
O18Sb6Tl2,-5.734305748572717,-5.714401,0.019904748572717068
O18Sb6Y2,-6.66991952749399,-6.590529,0.07939052749398989
O18Tl2V6,-6.922326894906851,-6.880362,0.04196489490685096
O20Rb4Sc12,-8.153538174099392,-8.135979,0.017559174099391228
O20Se4Zr4,-6.978541237967355,-7.001601,-0.023059762032644926
O20Ta4Tl20,-5.774229223077947,-5.775148,-0.0009187769220524444
O24Se6Sn3,-5.3579489968039775,-5.335929,0.02201999680397737
O28Pb4Se8,-5.26531753540039,-5.261254,0.0040635354003901725
O4Rb4Ru,-4.8415111965603295,-4.84147,4.119656032930408e-05
O8OsRu3,-7.541482289632161,-7.542374,-0.0008917103678385274
O8Os3Ru,-7.809381484985352,-7.810377,-0.0009955150146483405
O8Pb3Sr2,-5.730286231407752,-5.730284,2.2314077519069997e-06
O8Pd3Sr2,-5.72343034010667,-5.657652,0.06577834010667072
O8Pd3Zn2,-5.101453927847055,-5.101471,-1.70721529446638e-05
O8Pd6Sn,-5.656588236490886,-5.596098,0.06049023649088614
O8PtSe2,-5.198252244429155,-5.215676,-0.017423755570844968
O8Se2Ti,-6.112809614701704,-6.112693,0.00011661470170398758
Ag12K8S10,-3.3872055053710937,-3.366565,0.02064050537109363
Ag12Rb8S10,-3.353002421061198,-3.324009,0.028993421061197733
Ag16Se16Si4,-3.6328362358940973,-3.641968,-0.009131764105902551
AgAl2Cl7,-3.646117401123047,-3.641679,0.004438401123047164
AgF9Pd2,-3.7382920583089194,-3.733829,0.004463058308919354
AgI4In,-2.4020891189575195,-2.402088,1.1189575195302837e-06
AgLi5P2,-3.4910356998443604,-3.475714,0.015321699844360381
AgLi7Te4,-3.3152662913004556,-3.315367,-0.00010070869954459383
Ag2Au4F14,-3.3172012329101563,-3.299887,0.017314232910156324
Ag2Br8In2,-2.7080599466959634,-2.707998,6.194669596348845e-05
Ag2Cl18Mn4,-3.9012584686279297,-3.904051,-0.0027925313720702505
Ag2Cl6Hf,-4.186036851671007,-4.191602,-0.005565148328992464
Ag2Cl6Ir,-3.32425774468316,-3.305978,0.018279744683159738
Ag2Cs6Te4,-2.80745792388916,-2.795455,0.012002923889160133
Ag2F10Mo2,-4.849104745047433,-4.85893,-0.009825254952566809
