formula,chemsys,ehull
Pd6 W6 O24,Pd-W-O,0.1738175827083337
Rb8 Pt4 O12,Pt-Rb-O,-0.3102258695833342
Re4 Pt4 O16,Pt-Re-O,0.04739445041666457
Re8 Pt4 O36,Pt-Re-O,0.030908992812499037
Pt4 Rh4 O16,Pt-Rh-O,-0.006151286666666422
Pt4 Rh8 O20,Pt-Rh-O,0.11573725843749827
Ta8 Pt4 O28,Pt-Ta-O,0.08195140100000131
Pt4 W4 O20,Pt-W-O,0.06202147553571624
Pt4 W20 O32,Pt-W-O,0.6633351653571413
Rb4 Rh4 O8,Rb-Rh-O,-0.21079284781250074
Re4 Sn4 O16,Re-Sn-O,0.06909683569444525
Ta4 Re4 O20,Re-Ta-O,0.049777933333327695
Ta4 Re4 O24,Re-Ta-O,-0.014623145546874383
Re8 Sn4 O36,Re-Sn-O,0.018322544687498166
Sn4 Rh8 O20,Rh-Sn-O,0.06673108999999844
Sc8 Ru4 O20,Ru-Sc-O,0.07060947609374679
Ta8 Ru4 O28,Ru-Ta-O,0.06810294100000114
Ru3 W3 O15,Ru-W-O,0.11955040327380928
Zn4 Ru4 O12,Ru-Zn-O,0.08137931499999596
Zr4 Ru4 O16,Ru-Zr-O,0.0771655916666667
Ru8 W4 O24,Ru-W-O,0.07275953152777781
Sc4 Zn2 O8,Sc-Zn-O,0.03783763339285784
Y4 Tl4 O8,Tl-Y-O,0.042710406718750704
Y4 Tl4 O12,Tl-Y-O,0.040909865375001075
Tl8 Zn4 O8,Tl-Zn-O,0.08517549749999986
Tl8 Zn4 O16,Tl-Zn-O,0.025800857142857403
Zr4 Tl8 O20,Tl-Zr-O,0.080364364999995
