formula,chemsys,ehull
Mg2 Tl4 O8,Mg-Tl-O,0.04344205000000034
Mg4 Tl8 O16,Mg-Tl-O,0.05288672571428599
Mg4 Tl8 O16,Mg-Tl-O,0.02896696428571577
Mo3 Os3 O12,Mo-Os-O,0.1596833563888893
Mo4 Os4 O16,Mo-Os-O,0.1403719541666657
Mo3 Pd3 O9,Mo-Pd-O,0.2118193169166691
Mo4 Pd4 O16,Mo-Pd-O,0.08651992520833307
Mo2 Pd2 O8,Mo-Pd-O,0.049713016041666336
Mo2 Pd2 O8,Mo-Pd-O,0.18520358770833223
Mo4 Pd4 O16,Mo-Pd-O,0.156813767708333
Mo4 Pd4 O16,Mo-Pd-O,0.18119186229166662
Mo3 Pt3 O12,Mo-Pt-O,0.154842936180553
Mo4 Pt4 O16,Mo-Pt-O,0.143849838541664
Mo3 Pt3 O12,Mo-Pt-O,0.1914394834027755
Nb8 Pd4 O24,Nb-Pd-O,0.08615738809523954
Nb8 Pd4 O24,Nb-Pd-O,0.10619841615079295
Nb8 Pd4 O24,Nb-Pd-O,0.08629244976190442
Nb8 Pd4 O24,Nb-Pd-O,0.1055402189285708
Nb4 Pd2 O12,Nb-Pd-O,0.09871309976190545
Nb2 Au2 O8,Au-Nb-O,-0.016365387678565213
Nb4 Au4 O16,Au-Nb-O,0.029879745654767476
Nb2 Au2 O8,Au-Nb-O,0.026999668154767953
Nb3 Au3 O12,Au-Nb-O,0.05449829371032244
Nb2 Au2 O8,Au-Nb-O,0.04004446982143506
Os4 W2 O12,Os-W-O,0.19812912347222245
Os4 W2 O12,Os-W-O,0.23741660680555654
Os4 W2 O12,Os-W-O,0.189427246805554
Os2 Pd2 O6,Os-Pd-O,0.1347068354999985
Os4 Rh8 O20,Os-Rh-O,0.10945443812499889
Os4 Rh8 O20,Os-Rh-O,0.13564304281249928
Os4 Rh8 O20,Os-Rh-O,0.11011266374999895
Os4 Rh8 O20,Os-Rh-O,0.11631940656249906
Os4 Rh8 O20,Os-Rh-O,0.14930274062499915
Pd1 Au2 O6,Au-Pd-O,0.08725413000000071
Pd1 Au2 O6,Au-Pd-O,0.09024760555555655
Pd2 Au4 O12,Au-Pd-O,0.09995556111111181
Pd4 Au8 O24,Au-Pd-O,0.055223555833333826
Pd2 Au4 O12,Au-Pd-O,0.07656208611111204
Pd2 Pt2 O8,Pd-Pt-O,-0.05236837999999988
Pd4 Pt4 O16,Pd-Pt-O,-0.04760485250000013
Pd2 Pt2 O8,Pd-Pt-O,-0.05871290583333355
Pd4 Pt4 O16,Pd-Pt-O,-0.05140048791666629
Pd4 Pt4 O16,Pd-Pt-O,-0.040234959583332675
Pt2 Au1 O2,Au-Pt-O,0.0641748609999997
Pt3 W15 O24,Pt-W-O,0.7962290564285706
